Name,Year,Date,Copies1stWeek,CopiesTotal,Platform,Company,CERO,NoLI,NoFemale,NoFemaleLI,NoFemaleFI,NoLGBT,NoCDM,NoCDF,,Memo
Starry☆Sky ～in Spring～ Portable,2010,10/6/24,22423,53960,PSP,honeybee,B,3,1,0,0,0,0,0,,
うたの☆プリンスさまっ♪,2010,10/6/24,10432,15519,PSP,株式会社ブロッコリー,C,7,2,0,0,1,0,0,,
ときめきメモリアルGirl's Side 3rd Story,2010,10/6/24,,61268,PSP,コナミ,B,11,3,0,2,0,0,0,,http://www.dramaticcreate.com/sanzen/chara.html#name06
金色のコルダ3,2010,10/2/25,18575,32347,PSP,コーエー,B,12,2,0,0,0,0,0,,冬海笙子（有友情END）、天羽菜美（重要配角 无END）
CLOCK ZERO ～終焉の一秒～,2010,10/11/25,4192,6686,PS2,アイディアファクトリー,B,6,3,0,0,0,0,0,,ニア（无END）
絶対迷宮グリム～七つの鍵と楽園の乙女～,2010,10/4/28,,,PC,花梨エンターテイメント,B,8,3,0,2,0,0,0,,渋谷 友千香（室友 无END）、月宮 林檎（伪娘 无END）
アンジェリーク 魔恋の六騎士,2011,11/11/17,,,PSP,コーエー,-,6,1,0,0,0,0,0,,六个男主的三个妈算吗……（补了）
AMNESIA,2011,11/8/18,18279,54311,PSP,アイディアファクトリー,C,5,4,0,0,0,0,0,,女主俩朋友
文明開華 葵座異聞録,2011,11/8/18,,,PSP,HuneX,B,6,1,0,0,0,0,0,,http://rejetweb.jp/dwd/chara/
籠の中のアリシス,2011,11/4/22,,,PC,IcingCandy,A,6,3,0,0,0,0,0,,
遙かなる時空の中で5,2011,11/2/24,,,PSP,コーエー,B,9,3,0,0,0,0,0,,
アルカナ・ファミリア -La storia della Arcana Famiglia-,2011,11/10/27,,,PSP,HuneX,B,7,2,0,0,0,0,0,,
Starry☆Sky ～in Winter～ Portable,2011,11/4/28,22913,30819,PSP,honeybee,B,4,1,0,0,0,0,0,,
死神と少女,2011,11/7/28,,,PSP,TAKUYO,B,5,4,0,0,0,0,0,,
DIABOLIK LOVERS～Haunted dark bridal～,2012,12/10/11,20516,33173,PSP,Rejet,D,6,4,0,0,0,0,0,,
AMNESIA LATER,2012,12/3/15,17252,36256,PSP,アイディアファクトリー,C,7,4,0,0,0,0,0,,
十鬼の絆,2012,12/7/19,19338,22763,PSP,デザインファクトリー,B,5,1,0,0,0,0,0,,
白華の檻～緋色の欠片4～,2012,12/9/20,,,PSP,アイディアファクトリー,B,6,9,0,0,0,0,0,,
Glass Heart Princess,2012,12/12/20,4697,10387,PSP,アイディアファクトリー,B,5,1,0,0,0,0,0,,
ダイヤの国のアリス～ Wonderful Wonder World ～,2012,12/12/20,,,PSP,"
QuinRose",C,5,4,0,1,0,0,0,,
十三支演義～偃月三国伝～,2012,12/5/24,,,PSP,オトメイト,C,7,3,0,0,0,0,0,,
Starry☆Sky ～After Spring～ Portable,2012,12/12/27,8191,15236,PSP,honeybee,C,5,5,0,0,0,0,0,,
unENDing Bloody Call,2012,12/6/28,4408,6980,PSP,BlueMoon,C,6,2,0,0,0,0,0,,
英国探偵ミステリア,2013,13/03/07,4590,7112,PSP,花梨エンターテイメント,C,5,3,0,1,0,0,0,,
夏空のモノローグ portable,2013,13/03/20,5045,8268,PSP,"
アイディアファクトリー",B,6,1,0,0,0,0,0,,
Starry☆Sky ～After Summer～ Portable,2013,13/03/28,7290,11381,PSP,honeybee,C,6,6,0,0,0,0,0,,
下天の華,2013,13/03/28,8644,15746,PSP,コーエーテクモゲームス,B,7,2,0,0,0,0,0,,
NORN9 ノルン＋ノネット,2013,13/05/30,,,PSP,オトメイト,C,9,4,0,0,0,0,0,,
裏語 薄桜鬼系列,2013,13/06/27,,,PSP,オトメイト,C,4,1,0,0,0,0,0,,
Starry☆Sky ～After Autumn～ Portable,2013,13/06/27,5550,8199,PSP,honeybee,C,3,4,0,0,0,0,0,,
ダイヤの国のアリス～Wonderful MIRROR World～,2013,13/07/25,,,PSP,"
QuinRose",C,5,4,0,0,0,0,0,,
BROTHERS CONFLICT系列,2013,13/09/12,,,PSP,アイディアファクトリー,C,7,4,0,0,0,0,0,,
Starry☆Sky ～After Winter～ Portable,2013,13/09/26,6074,8268,PSP,honeybee,C,5,4,0,0,0,0,0,,
明治東亰恋伽,2013,13/09/26,9476,11320,PSP,HuneX,C,8,2,0,0,0,0,0,,
神々の悪戯,2013,13/10/24,13813,16643,PSP,日本一ソフトウェア,B,8,1,0,0,0,0,0,,
剣が君,2013,13/12/19,,,PC,Rejet,C,6,3,0,0,0,0,0,,
忍び、恋うつつ,2014,14/01/30,10300,12290,PSP,アイディアファクトリー,C,11,1,0,0,0,0,0,,
蝶の毒 華の鎖 ～大正艶恋異聞～,2014,14/02/20,,,Vita,アロマリエ,D,5,3,0,0,0,0,0,,
女王蜂の王房 めのう編,2014,14/02/28,,,PC,PURE WOOL,Z,3,2,0,0,0,0,0,,
越えざるは紅い花～大河は未来を紡ぐ～,2014,14/03/20,5578,5578,PSP,Operetta Due,D,9,3,0,0,0,0,0,,
十三支演義～偃月三国伝～2,2014,14/04/17,,,PSP,オトメイト,C,7,4,0,0,0,0,0,,
金色のコルダ3 AnotherSky feat.天音学園,2014,14/09/25,11297,12317,PSP,"
コーエー",B,12,2,0,1,0,0,0,,
私のリアルは充実しすぎている,2014,14/1/11,,,PC, Tetrascope,-,3,3,0,0,0,0,0,,
女王蜂の王房 輝夜編,2014,14/10/16,,,PC,PURE WOOL,Z,3,2,0,0,0,0,0,,
学園K -Wonderful School Days-,2014,14/10/30,14388,15796,PSP,アイディアファクトリー,B,7,5,0,1,0,0,0,,http://pil-vamp.jp/products/mashou/character6.html
戦場の円舞曲(ワルツ),2014,14/11/20,6732,7464,Vita,アイディアファクトリー,C,6,5,0,0,0,0,0,,
12歳。系列,2014,14/12/18,,,DS,Happinet,A,1,2,0,0,0,0,0,,
BAD APPLE WARS,2015, 15/11/19,5813,5813,Vita,"
オトメイト",B,5,2,0,0,0,0,0,,
黒蝶のサイケデリカ,2015,15/01/29,5750,7083,Vita,オトメイト,C,5,2,0,0,0,0,0,,
遙かなる時空の中で6,2015,15/03/12,,,Vita,コーエー,C,8,2,0,0,0,0,0,,
NORN9 ノルン+ノネット LAST ERA,2015,15/04/02,,,Vita,オトメイト,C,9,6,0,0,0,0,0,,
12時の鐘とシンデレラ　シンデレラシリーズ・トリプル全巻パック,2015,15/05/21,,,Vita,QuinRose,C,5,5,1,0,1,0,0,,
レンドフルール,2015,15/08/20,,,PSP,オトメイト,C,5,6,0,0,0,0,0,,
吉原彼岸花,2015,15/09/25,,,PC,MariaCrown,D,5,4,0,0,0,0,0,,
あやかしごはん～おおもりっ！～,2015,15/10/08,,,Vita,honeybee,B,6,7,0,0,0,0,0,,
金色のコルダ4,2016,16/03/10,17521,19921,Vita,コーエー,B,13,3,0,0,0,0,0,,
Dance with Devils,2016,16/03/24,5129,5129,Vita,Rejet,C,6,3,0,0,0,0,0,,
OZMAFIA!! （オズマフィア）,2016,16/04/19,,,PC,"Poni-Pachet, Dramatic Create",C,10,2,0,1,0,0,0,,
ニル・アドミラリの天秤 帝都幻惑綺譚,2016,16/04/21,11771,13463,Vita,オトメイト,D,6,4,0,0,0,0,0,,
喧嘩番長 乙女,2016,16/05/19,9281,14482,Vita,"
株式会社スパイク・チュンソフト",B,5,1,0,0,0,0,0,,
